subject,transition_threat,activeNodeThreatStatus,prevTrialThreatStatus,correct_rejections,false_alarms,hits,misses,dprime
sub9,contains_threat,threat,neutral,45,4,12,0,3.1095800722089226
sub9,contains_threat,threat,threat,11,0,6,0,3.1968981888077677
sub9,no_threat,neutral,neutral,45,0,14,1,3.6129061065466326
sub90,contains_threat,neutral,threat,46,5,6,3,1.6346667083706674
sub90,contains_threat,threat,neutral,50,2,5,4,1.7985987344600485
sub90,contains_threat,threat,threat,22,0,6,4,2.2489703181623746
sub90,no_threat,neutral,neutral,32,2,4,8,1.069508496871035
sub92,contains_threat,neutral,threat,45,0,13,0,4.097638299982287
sub92,contains_threat,threat,neutral,51,0,7,0,3.8751476819829933
sub92,contains_threat,threat,threat,17,0,6,0,3.3797396177410794
sub92,no_threat,neutral,neutral,47,0,13,0,4.113734428996609
sub93,contains_threat,neutral,threat,48,0,7,1,3.2861795370795335
sub93,contains_threat,threat,neutral,45,0,8,2,3.042753804006398
sub93,contains_threat,threat,threat,13,0,11,1,3.0011227930461146
sub93,no_threat,neutral,neutral,52,1,10,0,3.6051274546404555
sub94,contains_threat,neutral,threat,49,1,11,1,3.0878896626403547
sub94,contains_threat,threat,neutral,48,0,14,0,4.152672606793747
sub94,contains_threat,threat,threat,18,0,5,0,3.320925637953467
sub94,no_threat,neutral,neutral,43,1,7,1,2.8013362019176156
sub95,contains_threat,neutral,threat,41,3,8,0,3.013397887294018
sub95,contains_threat,threat,neutral,47,0,4,1,2.9854810884534997
sub95,contains_threat,threat,threat,17,0,7,0,3.4486263694081027
sub95,no_threat,neutral,neutral,51,0,19,1,3.80626093031597
sub96,contains_threat,neutral,threat,43,0,15,1,3.6296905729593956
sub96,contains_threat,threat,neutral,51,1,6,1,2.7935045618519023
sub96,contains_threat,threat,threat,14,0,7,0,3.36803518016846
sub96,no_threat,neutral,neutral,47,3,10,0,3.1767131989153548
sub97,contains_threat,neutral,threat,47,1,7,1,2.8392922969689467
sub97,contains_threat,threat,neutral,41,4,10,1,2.4443877320178635
sub97,contains_threat,threat,threat,21,0,3,0,3.1507729494819876
sub97,no_threat,neutral,neutral,43,2,13,5,2.1590064254701558
sub98,contains_threat,neutral,threat,48,1,11,2,2.8016165845196292
sub98,contains_threat,threat,neutral,50,1,10,1,3.0483780329980092
sub98,contains_threat,threat,threat,21,0,6,1,2.887570128124856
sub98,no_threat,neutral,neutral,39,0,6,2,2.8308585254547234
sub99,contains_threat,neutral,threat,45,0,12,0,4.063720247761802
sub99,contains_threat,threat,neutral,52,1,3,1,2.4389063377635978
sub99,contains_threat,threat,threat,20,3,4,0,2.336024017314654
sub99,no_threat,neutral,neutral,37,1,20,0,3.7495774351659845
